2048,"Herat","Herat","Afghanistan","HEA","OAHR",34.210017,62.2283,3206,5,"U"
2049,"Jalalabad","Jalalabad","Afghanistan","JAA","OAJL",34.399842,70.498625,1814,5,"U"
2050,"Kabul Intl","Kabul","Afghanistan","KBL","OAKB",34.565853,69.212328,5877,5,"U"
2051,"Kandahar","Kandahar","Afghanistan","KDH","OAKN",31.505756,65.847822,3337,5,"U"
2052,"Maimana","Maimama","Afghanistan","MMZ","OAMN",35.930789,64.760917,2743,5,"U"
2053,"Mazar I Sharif","Mazar-i-sharif","Afghanistan","MZR","OAMS",36.706914,67.209678,1284,5,"U"
2054,"Shindand","Shindand","Afghanistan",,"OASD",33.391331,62.260975,3773,5,"U"
2055,"Sheberghan","Sheberghan","Afghanistan",,"OASG",36.750783,65.913164,1053,5,"U"
2056,"Konduz","Kunduz","Afghanistan","UND","OAUZ",36.665111,68.910833,1457,5,"U"
5922,"Faizabad Airport","Faizabad","Afghanistan","FBD","OAFZ",37.1211,70.5181,3872,4.5,"U"
7036,"Bagram AFB","Kabul","Afghanistan","BPM","OAIX",34.5646,69.1554,4895,4.5,"U"
7499,"Tarin Kowt Airport","Tarin Kowt","Afghanistan","TII","OATN",32.605278,65.864167,3500,4.5,"U"
7500,"Zaranj Airport","Zaranj","Afghanistan","ZAJ","OAZJ",30.969167,61.866944,1581,4.5,"U"
7501,"Chaghcharan Airport","Chaghcharan","Afghanistan","CCN","OACC",34.526667,65.271667,7383,4.5,"U"
7868,"Camp Bastion ","Camp Bastion","Afghanistan",,"OAZI",31.865556,64.195278,2808,4.5,"N"
8127,"FOB Salerno","Khost","Afghanistan","KHT","OAKS",33.3334,69.952,3756,4.5,"N"
8145,"FOB Sharana","Sharan","Afghanistan",,"\N",33.12777215,68.8369847,7400,4.5,"N"
8146,"Sharona","Sharona","Afghanistan","AZ3","OASA",33.1277215,68.8369847,7400,4.5,"N"
8267,"FOB Shank","Shank","Afghanistan",,"OASH",33.921369,69.07813,6614,4.5,"N"
1190,"Tirana Rinas","Tirana","Albania","TIA","LATI",41.414742,19.720561,126,1,"E"
207,"Blida","Blida","Algeria",,"DAAB",36.503613,2.814167,535,1,"N"
208,"Bou Saada","Bou Saada","Algeria",,"DAAD",35.3325,4.206389,1506,1,"N"
209,"Soummam","Bejaja","Algeria","BJA","DAAE",36.711997,5.069922,20,1,"N"
210,"Houari Boumediene","Algier","Algeria","ALG","DAAG",36.691014,3.215408,82,1,"N"
211,"Tiska","Djanet","Algeria","DJG","DAAJ",24.292767,9.452444,3176,1,"N"
